lr=0.01 momentum=0.9
epoch 0: loss=0.9417619554211184
epoch 1: loss=0.9225769563092628
epoch 2: loss=0.8676245753643266
epoch 3: loss=0.8795395792000336
epoch 4: loss=0.8275604918307357
epoch 5: loss=0.8000711204720932
epoch 6: loss=0.40691615550728516
epoch 7: loss=0.1495856415518229
epoch 8: loss=0.5099586056288218
epoch 9: loss=0.397217937297669
epoch 10: loss=0.4681846006453949
epoch 11: loss=0.4936671759047535
epoch 12: loss=0.5173642826590027
epoch 13: loss=0.5618019206517525
epoch 14: loss=0.620882486140577
epoch 15: loss=0.657388891000512
epoch 16: loss=0.638385731795641
epoch 17: loss=0.581291270289073
epoch 18: loss=0.5350787552340814
epoch 19: loss=0.47676196903395784
epoch 20: loss=0.5002368853436177
epoch 21: loss=0.5179486535927708
epoch 22: loss=0.5466545430913928
epoch 23: loss=0.5491866126648213
epoch 24: loss=0.47200034868628465
epoch 25: loss=0.5689244273183646
epoch 26: loss=0.4106736688488871
epoch 27: loss=0.4692366513583573
epoch 28: loss=0.4190461900135558
epoch 29: loss=0.5479315341933407
epoch 30: loss=0.3780861589580838
epoch 31: loss=0.6744863650839009
epoch 32: loss=0.7010320311614674
epoch 33: loss=0.7721391052083036
epoch 34: loss=0.869272918545364
epoch 35: loss=0.8892994501456131
epoch 36: loss=0.8799184169387234
epoch 37: loss=0.853488202586275
epoch 38: loss=0.8472484992912183
epoch 39: loss=0.8765510189132608
epoch 40: loss=0.8642926914777764
epoch 41: loss=0.8508995593118754
epoch 42: loss=0.8260625473435838
epoch 43: loss=0.76350260601226
epoch 44: loss=0.69200182350253
epoch 45: loss=0.6428523950195405
epoch 46: loss=0.6016954811180822
epoch 47: loss=0.5577232274199686
epoch 48: loss=0.5405311988694201
epoch 49: loss=0.5520779787848683
epoch 50: loss=0.542405409411496
epoch 51: loss=0.4532952471607922
epoch 52: loss=0.3181679851568064
epoch 53: loss=0.32347664045983876
epoch 54: loss=0.4276622630928253
epoch 55: loss=0.3196388483446055
epoch 56: loss=0.7960588825870941
epoch 57: loss=0.9422669579449499
epoch 58: loss=0.8947461509362289
epoch 59: loss=0.8994561314181532
epoch 60: loss=0.924464624244684
epoch 61: loss=0.9414577588880327
epoch 62: loss=0.944823153040795
epoch 63: loss=0.9316665939070794
epoch 64: loss=0.90318306184843
epoch 65: loss=0.8666741605707652
epoch 66: loss=0.84318721297148
epoch 67: loss=0.8314961055903883
epoch 68: loss=0.8192407608881003
epoch 69: loss=0.8057414957438771
epoch 70: loss=0.790124499336238
epoch 71: loss=0.7714514830639917
epoch 72: loss=0.7514680798162813
epoch 73: loss=0.7335168627963763
epoch 74: loss=0.7212809938980315
epoch 75: loss=0.7205318290798747
epoch 76: loss=0.7223876910023896
epoch 77: loss=0.704961525948326
epoch 78: loss=0.6583770957237144
epoch 79: loss=0.6322344705216398
epoch 80: loss=0.6174955331371721
epoch 81: loss=0.5684361593268383
epoch 82: loss=0.5229678146456823
epoch 83: loss=0.5350776389556678
epoch 84: loss=0.5051513675105614
epoch 85: loss=0.4104201607811557
epoch 86: loss=0.3511835561584122
epoch 87: loss=0.3035207818331082
epoch 88: loss=0.48667400961272494
epoch 89: loss=0.23171298426715425
epoch 90: loss=0.5110535263584253
epoch 91: loss=0.46026510492768435
epoch 92: loss=0.3134108176473313
epoch 93: loss=0.5447819431428553
epoch 94: loss=0.5555705157785551
epoch 95: loss=0.5686126398999554
epoch 96: loss=0.5907986739989148
epoch 97: loss=0.583232439933969
epoch 98: loss=0.5862213842757584
epoch 99: loss=0.5924659066904575
epoch 100: loss=0.603144034047819
epoch 101: loss=0.6037689972968298
epoch 102: loss=0.592960866441411
epoch 103: loss=0.5714348609754575
epoch 104: loss=0.5434832922564247
epoch 105: loss=0.507276285070063
epoch 106: loss=0.46401002054967105
epoch 107: loss=0.3697856121796244
epoch 108: loss=0.3000416358139418
epoch 109: loss=0.33944165161070416
epoch 110: loss=0.8002036797950979
epoch 111: loss=0.6940998157562724
epoch 112: loss=0.6940871046365211
epoch 113: loss=0.45656773437461007
epoch 114: loss=0.25386113214106515
epoch 115: loss=0.3020263024346742
epoch 116: loss=0.3535783552539071
epoch 117: loss=0.3157073592774431
epoch 118: loss=0.358084355085474
epoch 119: loss=0.23927043915902915
epoch 120: loss=0.19027193684102875
epoch 121: loss=0.29070927635341964
epoch 122: loss=0.2310734824728867
epoch 123: loss=0.2043409328759065
epoch 124: loss=0.2108964488421428
epoch 125: loss=0.21950235137085056
epoch 126: loss=0.2661071716600816
epoch 127: loss=0.29117141331052077
epoch 128: loss=0.28427100095071767
epoch 129: loss=0.22120176893017873
epoch 130: loss=0.17011966852104835
epoch 131: loss=0.13471697753270304
epoch 132: loss=0.3316552729136259
epoch 133: loss=0.35065541302590525
epoch 134: loss=0.2427341309119513
epoch 135: loss=0.38843710448678853
epoch 136: loss=0.12972464946014628
epoch 137: loss=0.09881211672953187
epoch 138: loss=0.17482971466092512
epoch 139: loss=0.22934035285112242
epoch 140: loss=0.2736919463698738
epoch 141: loss=0.33186478352023635
epoch 142: loss=0.31223057406501836
epoch 143: loss=0.22020857632274804
epoch 144: loss=0.28125727564398995
epoch 145: loss=0.31046765766655526
epoch 146: loss=0.2674101639123456
epoch 147: loss=0.19987361474752718
epoch 148: loss=0.13545558574278352
epoch 149: loss=0.1728383570335644
epoch 150: loss=0.24815351842074793
epoch 151: loss=0.2085504011148365
epoch 152: loss=0.908741168690944
epoch 153: loss=0.7708411672975821
epoch 154: loss=0.3755678582430439
epoch 155: loss=0.1459063863093127
epoch 156: loss=0.28912073691238316
epoch 157: loss=0.25095315881324987
epoch 158: loss=0.36583800633718006
epoch 159: loss=0.3540952043737367
epoch 160: loss=0.2905845611943746
epoch 161: loss=0.26104265590194814
epoch 162: loss=0.19424597219577827
epoch 163: loss=0.4735594368610645
epoch 164: loss=0.5214080608209597
epoch 165: loss=0.5682339593967698
epoch 166: loss=0.5615335921187821
epoch 167: loss=0.534430348387142
epoch 168: loss=0.9876612188408478
epoch 169: loss=0.40366098717188226
epoch 170: loss=0.6952070461012431
epoch 171: loss=1.4830799288996706
epoch 172: loss=3.1034212069952223
epoch 173: loss=3.6975383745383215
epoch 174: loss=3.1718215283957725
epoch 175: loss=0.676861685550688
epoch 176: loss=0.3549636087870854
epoch 177: loss=0.6855901796590045
epoch 178: loss=0.8028922083256332
epoch 179: loss=0.6417103768356951
epoch 180: loss=0.7263008697102954
epoch 181: loss=0.8269090516690331
epoch 182: loss=0.8680342822873475
epoch 183: loss=0.8552019086926732
epoch 184: loss=0.8597274847808839
epoch 185: loss=0.8761296301015781
epoch 186: loss=0.8883790417568591
epoch 187: loss=0.9052448457880096
epoch 188: loss=0.913767541042324
epoch 189: loss=0.9411151269830272
epoch 190: loss=0.9369748767915994
epoch 191: loss=0.9333112847065173
epoch 192: loss=0.9309246793696544
epoch 193: loss=0.9284536784075722
epoch 194: loss=0.9253203870529063
epoch 195: loss=0.9205631982914779
epoch 196: loss=0.9135989902711268
epoch 197: loss=0.9025880111451031
epoch 198: loss=0.8851648615496025
epoch 199: loss=0.8568569595462628
epoch 200: loss=0.7904780919172985
