lr=0.01 momentum=0.9
epoch 0: loss=15.262359929694611
epoch 1: loss=12.20951759772168
epoch 2: loss=6.455231438907412
epoch 3: loss=6.757476622725688
epoch 4: loss=21.395528079806077
epoch 5: loss=5.734803464873007
epoch 6: loss=5.276912722813267
epoch 7: loss=6.389245952475501
epoch 8: loss=5.714481613302286
epoch 9: loss=6.306812171156432
epoch 10: loss=5.1414196816671245
epoch 11: loss=4.165141038054707
epoch 12: loss=2.9561331348780024
epoch 13: loss=4.236975310639095
epoch 14: loss=3.707091436519399
epoch 15: loss=3.6653928167198475
epoch 16: loss=3.2442286541443965
epoch 17: loss=2.833044966655441
epoch 18: loss=3.60465240442657
epoch 19: loss=2.9405603105621365
epoch 20: loss=3.0552367328494645
epoch 21: loss=2.4715108645155612
epoch 22: loss=2.5610001741469093
epoch 23: loss=2.1595222051636633
epoch 24: loss=2.576300341674562
epoch 25: loss=2.9417808322967542
epoch 26: loss=2.334484372592909
epoch 27: loss=2.3372965431894794
epoch 28: loss=2.258479143643269
epoch 29: loss=2.0055871568579446
epoch 30: loss=2.0838436110312033
epoch 31: loss=1.903283224298801
epoch 32: loss=2.2119374456411003
epoch 33: loss=1.8528284450594588
epoch 34: loss=2.7570409865594137
epoch 35: loss=1.9128431539497264
epoch 36: loss=2.322603006773075
epoch 37: loss=2.968077268369259
epoch 38: loss=3.500587061189981
epoch 39: loss=2.0131512417538016
epoch 40: loss=2.360088712655858
epoch 41: loss=1.9804561930238955
epoch 42: loss=1.9425131603709453
epoch 43: loss=2.1794236475863067
epoch 44: loss=2.228629464346905
epoch 45: loss=2.4767861105173283
epoch 46: loss=2.723577049377774
epoch 47: loss=2.9309147556977937
epoch 48: loss=3.1627935448528923
epoch 49: loss=3.0806359224276796
epoch 50: loss=3.125428458768504
epoch 51: loss=2.718597376193224
epoch 52: loss=2.7276452360774543
epoch 53: loss=2.6226509420343405
epoch 54: loss=2.4745395390145655
epoch 55: loss=2.4502857028301674
epoch 56: loss=2.560040768164641
epoch 57: loss=2.5479000665404663
epoch 58: loss=2.1190747368624123
epoch 59: loss=2.0013204440414607
epoch 60: loss=2.2169121570256998
epoch 61: loss=2.0630466152134144
epoch 62: loss=1.9361294945044678
epoch 63: loss=1.9935499819820959
epoch 64: loss=1.9272501975549299
