lr=0.01 momentum=0.9
epoch 0: loss=7.473035234461889
epoch 1: loss=5.949277763387535
epoch 2: loss=6.956198967648461
epoch 3: loss=6.925760206603908
epoch 4: loss=6.709995744740263
epoch 5: loss=6.594300973105131
epoch 6: loss=6.886050091797089
epoch 7: loss=7.1238450105568365
epoch 8: loss=6.605421379372202
epoch 9: loss=5.482549897058191
epoch 10: loss=4.178766333834954
epoch 11: loss=4.387840432031156
epoch 12: loss=8.046396717604505
epoch 13: loss=12.683754609027496
epoch 14: loss=15.693511014259672
epoch 15: loss=15.977718661557558
epoch 16: loss=13.35746708928957
epoch 17: loss=11.313838572667075
epoch 18: loss=9.765269456998595
epoch 19: loss=8.945206997412958
epoch 20: loss=8.207231944117497
epoch 21: loss=8.287697472675704
epoch 22: loss=7.591555232592317
epoch 23: loss=7.210567926091893
epoch 24: loss=5.373295916572926
epoch 25: loss=3.644198848338766
epoch 26: loss=3.5485118334426025
epoch 27: loss=3.572100997436355
epoch 28: loss=3.4135236791710364
epoch 29: loss=3.2756549445254364
epoch 30: loss=4.027511248414261
epoch 31: loss=3.5770666761633727
epoch 32: loss=4.230165950226414
epoch 33: loss=3.690133779805227
epoch 34: loss=3.4152022926423213
epoch 35: loss=3.7813369061465383
epoch 36: loss=5.030739611886281
epoch 37: loss=6.770057247902653
epoch 38: loss=32.08509612169798
epoch 39: loss=35.73802154532629
epoch 40: loss=37.12167873892471
epoch 41: loss=39.38865440849409
epoch 42: loss=35.855192221340204
epoch 43: loss=23.07815324247161
epoch 44: loss=19.331826289145333
epoch 45: loss=17.34307799782164
epoch 46: loss=21.56177714877862
epoch 47: loss=28.853554514153476
epoch 48: loss=14.25934856524454
epoch 49: loss=5.916228415425438
epoch 50: loss=5.00622419849148
epoch 51: loss=6.434315419281376
epoch 52: loss=13.853835137374043
epoch 53: loss=13.267898637291804
epoch 54: loss=18.99099030605386
epoch 55: loss=22.205220748233543
epoch 56: loss=14.169260267217295
epoch 57: loss=26.176525822703937
epoch 58: loss=17.45960131303269
epoch 59: loss=25.356763035951403
epoch 60: loss=24.56832579874958
epoch 61: loss=26.893933383618844
epoch 62: loss=24.78655250527237
epoch 63: loss=24.72652053644761
epoch 64: loss=23.68917744736427
epoch 65: loss=25.050018279000216
epoch 66: loss=27.431921086110407
epoch 67: loss=25.54808154078497
epoch 68: loss=25.019603920905986
epoch 69: loss=19.925742926793376
epoch 70: loss=11.883842379435878
epoch 71: loss=9.736642185950172
epoch 72: loss=8.893315810381534
epoch 73: loss=8.242352495726022
epoch 74: loss=7.478243784153526
epoch 75: loss=7.439293100666156
