lr=0.01 momentum=0.9
epoch 0: loss=7.296670836612077
epoch 1: loss=6.692106831984627
epoch 2: loss=7.516245233243175
epoch 3: loss=10.973605242216296
epoch 4: loss=9.126897142834071
epoch 5: loss=8.646126893742926
epoch 6: loss=8.496681415447888
epoch 7: loss=9.019135227438795
epoch 8: loss=9.225665369377037
epoch 9: loss=10.517363742782793
epoch 10: loss=9.688736920889362
epoch 11: loss=12.914028588001946
epoch 12: loss=13.561855055373277
epoch 13: loss=10.841494150482976
epoch 14: loss=7.199963720408158
epoch 15: loss=4.869163213729418
epoch 16: loss=5.6982896868464215
epoch 17: loss=6.062422772483842
epoch 18: loss=4.752361299528478
epoch 19: loss=4.502846526367124
epoch 20: loss=2.092521404289717
epoch 21: loss=2.5987670889011816
epoch 22: loss=2.4380095931454417
epoch 23: loss=2.708535076556819
epoch 24: loss=2.4015303000809287
epoch 25: loss=2.7363396279380168
epoch 26: loss=2.720424788944509
epoch 27: loss=2.528849796435675
epoch 28: loss=2.7688670089621192
epoch 29: loss=3.00528396247822
epoch 30: loss=4.79895076898778
epoch 31: loss=3.7289259538248296
epoch 32: loss=1.98544928011978
epoch 33: loss=1.7769168533916957
epoch 34: loss=2.2250313998402693
epoch 35: loss=2.490754582528477
epoch 36: loss=2.8002115994156607
epoch 37: loss=2.9376949355418516
epoch 38: loss=2.5275070178859442
epoch 39: loss=2.6276037136518773
epoch 40: loss=2.743008181580375
epoch 41: loss=3.455356220056679
epoch 42: loss=3.843255311715167
epoch 43: loss=3.528010913728721
epoch 44: loss=3.4323924957778726
epoch 45: loss=3.127496226195113
epoch 46: loss=2.9743534143709938
epoch 47: loss=2.9331792589130803
epoch 48: loss=2.9495239232992536
epoch 49: loss=2.7163739021038475
epoch 50: loss=3.0156390004487
epoch 51: loss=2.9932001538097635
epoch 52: loss=4.027350028076118
epoch 53: loss=4.79361372093103
epoch 54: loss=3.530378233792216
epoch 55: loss=3.479611158144222
epoch 56: loss=3.120873569353334
epoch 57: loss=3.145142675165725
epoch 58: loss=2.996254720391103
epoch 59: loss=2.8695923885022374
epoch 60: loss=2.9359869654149655
epoch 61: loss=2.9852052938244076
epoch 62: loss=3.283396213240785
epoch 63: loss=4.859995131609021
epoch 64: loss=25.31779004171502
epoch 65: loss=18.64068835489476
epoch 66: loss=4.3330767710925375
epoch 67: loss=3.390403690573996
epoch 68: loss=3.1419334751074324
epoch 69: loss=3.251278024099139
epoch 70: loss=2.966164782760019
epoch 71: loss=2.9182387199637865
epoch 72: loss=2.9984931259742154
epoch 73: loss=2.967360578882508
epoch 74: loss=3.7274237798825984
epoch 75: loss=4.227740112271801
epoch 76: loss=4.9481300541122115
epoch 77: loss=4.720291518163383
epoch 78: loss=4.686126253093662
epoch 79: loss=4.942832730650664
epoch 80: loss=4.986375857757534
epoch 81: loss=4.362238418327749
epoch 82: loss=3.620909890504486
epoch 83: loss=3.1426176070707115
epoch 84: loss=2.58958242455002
epoch 85: loss=3.0594183815107594
epoch 86: loss=2.8970755774317287
epoch 87: loss=2.9006039292833248
epoch 88: loss=2.948198686731494
epoch 89: loss=3.2187100022448862
epoch 90: loss=3.225379539560836
epoch 91: loss=3.3129286020227693
epoch 92: loss=3.3493509935927746
epoch 93: loss=3.6612354400272715
epoch 94: loss=3.2409267724727124
epoch 95: loss=3.18511651366043
epoch 96: loss=3.19976682750814
epoch 97: loss=3.162286221630425
epoch 98: loss=3.1530100373967143
epoch 99: loss=3.4137388845435503
epoch 100: loss=3.544276022875998
epoch 101: loss=3.299485799839802
epoch 102: loss=3.3118263938019683
epoch 103: loss=3.661500652391434
epoch 104: loss=3.3704712191083632
epoch 105: loss=3.488926060331991
epoch 106: loss=3.3725129424727136
epoch 107: loss=3.350319755218658
epoch 108: loss=3.2895129398283927
epoch 109: loss=3.2995236820955323
epoch 110: loss=3.239719194250241
epoch 111: loss=3.367932874780336
epoch 112: loss=3.2283379900946376
epoch 113: loss=3.518324178717433
epoch 114: loss=3.436381038061925
epoch 115: loss=3.398878442608867
epoch 116: loss=3.3685563122937987
epoch 117: loss=3.3393664063964286
epoch 118: loss=3.2306425424693286
epoch 119: loss=3.2394186671479344
epoch 120: loss=3.1571221791662327
epoch 121: loss=3.0759928592511314
epoch 122: loss=3.1183230541027567
epoch 123: loss=3.214936154854555
