lr=0.01 momentum=0.9
epoch 0: loss=4.076832535288053
epoch 1: loss=78.04963018022443
epoch 2: loss=52.08634730307238
epoch 3: loss=12.851170764824847
epoch 4: loss=27.88991035019559
epoch 5: loss=11.559216987168357
epoch 6: loss=39.12530019388693
epoch 7: loss=54.09615171825352
epoch 8: loss=20.068694885944932
epoch 9: loss=22.127454350794917
epoch 10: loss=39.84656044066651
epoch 11: loss=33.66798845738831
epoch 12: loss=52.07612647878724
epoch 13: loss=50.89329930516282
epoch 14: loss=43.19272798933267
epoch 15: loss=32.10585141023837
epoch 16: loss=10.996099740826317
epoch 17: loss=39.574638962516154
epoch 18: loss=27.796179151068753
epoch 19: loss=6.444372170056226
epoch 20: loss=3.2046815910120836
epoch 21: loss=1.0648362347533409
epoch 22: loss=5.138301372244487
epoch 23: loss=2.0167374013444648
epoch 24: loss=4.974876912241071
epoch 25: loss=0.16121995439308764
epoch 26: loss=5.719894986792769
epoch 27: loss=2.622517507260457
epoch 28: loss=4.824235762596353
epoch 29: loss=3.907286053529171
epoch 30: loss=3.1204214204260308
epoch 31: loss=2.747728558289609
epoch 32: loss=0.43268184353650607
epoch 33: loss=0.7549624291524117
epoch 34: loss=2.0468686656977853
epoch 35: loss=2.3763139348927735
epoch 36: loss=1.03808554366812
epoch 37: loss=0.9544598592145824
epoch 38: loss=2.5644165517909303
epoch 39: loss=1.9607760018621234
epoch 40: loss=1.2267934643896128
epoch 41: loss=0.17734288059277709
epoch 42: loss=1.9695842443217304
epoch 43: loss=2.3323512295730238
epoch 44: loss=-0.04470725851436283
epoch 45: loss=0.6713417054503129
epoch 46: loss=0.15882069233900103
epoch 47: loss=0.4650864506412498
epoch 48: loss=2.1801246046384595
epoch 49: loss=2.39140668732635
epoch 50: loss=0.031760078392751745
epoch 51: loss=0.9111892737111696
epoch 52: loss=0.3461451321885606
epoch 53: loss=0.4709254654944062
epoch 54: loss=1.8604537464188795
epoch 55: loss=1.4227208878298367
epoch 56: loss=0.5140002673187781
epoch 57: loss=2.10375480944718
epoch 58: loss=2.537894541184625
epoch 59: loss=1.2842445662869248
epoch 60: loss=-0.01187620779881126
epoch 61: loss=2.3808936866721986
epoch 62: loss=4.282161051765341
epoch 63: loss=4.628084919142796
epoch 64: loss=3.1207054394114104
epoch 65: loss=1.1059892965688676
epoch 66: loss=1.9130245545677234
epoch 67: loss=3.3428921306093136
epoch 68: loss=3.9137990451145344
epoch 69: loss=2.498606571440768
epoch 70: loss=0.33397433267496035
epoch 71: loss=2.7500442157204077
epoch 72: loss=3.8950484159793697
epoch 73: loss=3.9219611332008477
epoch 74: loss=2.6929691725842773
epoch 75: loss=0.13599682793274567
epoch 76: loss=3.6728546473609405
epoch 77: loss=4.8202703933124
epoch 78: loss=3.7759752677463028
epoch 79: loss=1.2325438915269489
epoch 80: loss=2.179026530540881
epoch 81: loss=2.6999971546999872
epoch 82: loss=2.3157414721592926
epoch 83: loss=0.5077941752372847
epoch 84: loss=2.558396173541208
epoch 85: loss=2.9631235828822367
epoch 86: loss=2.8681755234107222
epoch 87: loss=1.91682458926742
epoch 88: loss=0.7338308055876502
epoch 89: loss=0.6806576868312226
epoch 90: loss=0.7018629109148175
epoch 91: loss=0.1339748129713271
epoch 92: loss=1.0315639301997692
epoch 93: loss=2.140495428551187
epoch 94: loss=2.0209065664556882
epoch 95: loss=1.1476527705207957
epoch 96: loss=0.24542702207094513
epoch 97: loss=0.9475667826364162
epoch 98: loss=1.1218558261672473
epoch 99: loss=0.1788069012211194
epoch 100: loss=0.26188706501945824
epoch 101: loss=0.9048327279826
epoch 102: loss=0.628485789652939
epoch 103: loss=0.5416179260432109
epoch 104: loss=0.10445650296108037
epoch 105: loss=0.6423364938559036
epoch 106: loss=0.6427129712692268
epoch 107: loss=0.332909241916913
epoch 108: loss=0.07322038939316028
epoch 109: loss=0.7232854740029404
epoch 110: loss=0.4167485142629252
epoch 111: loss=0.16007119332448194
epoch 112: loss=1.779788461793069
epoch 113: loss=1.7902036313389083
epoch 114: loss=1.3995646938265838
epoch 115: loss=0.3258496664255508
epoch 116: loss=1.035873083027939
epoch 117: loss=1.322359664409244
epoch 118: loss=1.3812623130278112
epoch 119: loss=0.7799464446065245
epoch 120: loss=0.6075567529988027
epoch 121: loss=1.0886619273817244
epoch 122: loss=1.131068827344484
epoch 123: loss=0.12581943522332664
epoch 124: loss=1.4106997483980908
epoch 125: loss=1.7419992385173777
epoch 126: loss=1.2855229863845938
epoch 127: loss=0.943578408521462
epoch 128: loss=0.2991710893352741
epoch 129: loss=0.8286236586910576
epoch 130: loss=1.0042817122534036
epoch 131: loss=0.18178711516782867
epoch 132: loss=1.3605925798633411
