lr=0.01 momentum=0.9
epoch 0: loss=4.304165685541144
epoch 1: loss=84.30351737850063
epoch 2: loss=59.1197944875587
epoch 3: loss=14.470659444274052
epoch 4: loss=20.583118696060588
epoch 5: loss=121.09842555622103
epoch 6: loss=8.549538716009343
epoch 7: loss=15.544643889816074
epoch 8: loss=7.629046835212965
epoch 9: loss=12.407212157408162
epoch 10: loss=21.010803806428235
epoch 11: loss=17.965892278039096
epoch 12: loss=9.457410656116444
epoch 13: loss=13.975117058947712
epoch 14: loss=1.6245525336067754
epoch 15: loss=13.464796129864435
epoch 16: loss=6.578556283805429
epoch 17: loss=5.029902471143544
epoch 18: loss=1.1971368861003566
epoch 19: loss=0.40809052334332796
epoch 20: loss=2.392533295312534
epoch 21: loss=0.12774694289075766
epoch 22: loss=3.726873142553756
epoch 23: loss=3.596549556479821
epoch 24: loss=0.7838936257442782
epoch 25: loss=6.429457447643284
epoch 26: loss=3.1948760332363375
epoch 27: loss=0.35054934151878164
epoch 28: loss=5.533287686014579
epoch 29: loss=6.121158120362846
epoch 30: loss=0.8968400604338367
epoch 31: loss=379.83137898442413
epoch 32: loss=6.259271417129478
epoch 33: loss=8.919098504878834
epoch 34: loss=9.840092738068769
epoch 35: loss=12.603364208758784
epoch 36: loss=14.516805337724001
epoch 37: loss=17.73307255533834
epoch 38: loss=21.10345499467863
epoch 39: loss=21.46402018263861
epoch 40: loss=20.352913791077363
epoch 41: loss=23.791127716659425
epoch 42: loss=22.485744301377846
epoch 43: loss=20.926166597847214
epoch 44: loss=16.66751275195664
epoch 45: loss=12.582595363507014
epoch 46: loss=54.94929795879229
epoch 47: loss=-0.482045827576172
epoch 48: loss=4.539867214175729
epoch 49: loss=0.925443698320167
epoch 50: loss=8.195571140836858
epoch 51: loss=9.17109443187228
epoch 52: loss=6.277062395291413
epoch 53: loss=0.10766674860739678
epoch 54: loss=3.8949557773536316
epoch 55: loss=7.805079693030443
epoch 56: loss=7.7266937378847755
epoch 57: loss=7.165770745351571
epoch 58: loss=2.208800607448851
epoch 59: loss=1.7201838000799876
epoch 60: loss=2.9685040811145265
