lr=0.01 momentum=0.9
epoch 1: loss=tensor([86.3150], device='cuda:1', dtype=torch.float64)
epoch 2: loss=tensor([57.9481], device='cuda:1', dtype=torch.float64)
epoch 3: loss=tensor([71.4046], device='cuda:1', dtype=torch.float64)
epoch 4: loss=tensor([67.6036], device='cuda:1', dtype=torch.float64)
epoch 5: loss=tensor([33.8010], device='cuda:1', dtype=torch.float64)
epoch 6: loss=tensor([38.0061], device='cuda:1', dtype=torch.float64)
epoch 7: loss=tensor([33.1672], device='cuda:1', dtype=torch.float64)
epoch 8: loss=tensor([31.5866], device='cuda:1', dtype=torch.float64)
epoch 9: loss=tensor([32.0857], device='cuda:1', dtype=torch.float64)
epoch 10: loss=tensor([30.9751], device='cuda:1', dtype=torch.float64)
epoch 11: loss=tensor([34.9948], device='cuda:1', dtype=torch.float64)
epoch 12: loss=tensor([35.0923], device='cuda:1', dtype=torch.float64)
epoch 13: loss=tensor([37.9226], device='cuda:1', dtype=torch.float64)
epoch 14: loss=tensor([31.7847], device='cuda:1', dtype=torch.float64)
epoch 15: loss=tensor([34.3670], device='cuda:1', dtype=torch.float64)
epoch 16: loss=tensor([37.0605], device='cuda:1', dtype=torch.float64)
epoch 17: loss=tensor([36.7211], device='cuda:1', dtype=torch.float64)
epoch 18: loss=tensor([34.3674], device='cuda:1', dtype=torch.float64)
epoch 19: loss=tensor([29.0882], device='cuda:1', dtype=torch.float64)
epoch 20: loss=tensor([29.3320], device='cuda:1', dtype=torch.float64)
epoch 21: loss=tensor([28.6047], device='cuda:1', dtype=torch.float64)
epoch 22: loss=tensor([26.5431], device='cuda:1', dtype=torch.float64)
epoch 23: loss=tensor([28.0975], device='cuda:1', dtype=torch.float64)
epoch 24: loss=tensor([28.1895], device='cuda:1', dtype=torch.float64)
epoch 25: loss=tensor([26.7100], device='cuda:1', dtype=torch.float64)
epoch 26: loss=tensor([30.6033], device='cuda:1', dtype=torch.float64)
epoch 27: loss=tensor([31.9045], device='cuda:1', dtype=torch.float64)
epoch 28: loss=tensor([30.0854], device='cuda:1', dtype=torch.float64)
epoch 29: loss=tensor([28.9988], device='cuda:1', dtype=torch.float64)
epoch 30: loss=tensor([27.9575], device='cuda:1', dtype=torch.float64)
epoch 31: loss=tensor([27.3759], device='cuda:1', dtype=torch.float64)
epoch 32: loss=tensor([28.0739], device='cuda:1', dtype=torch.float64)
epoch 33: loss=tensor([27.5490], device='cuda:1', dtype=torch.float64)
epoch 34: loss=tensor([28.0355], device='cuda:1', dtype=torch.float64)
epoch 35: loss=tensor([27.0863], device='cuda:1', dtype=torch.float64)
epoch 36: loss=tensor([26.9745], device='cuda:1', dtype=torch.float64)
epoch 37: loss=tensor([27.0438], device='cuda:1', dtype=torch.float64)
epoch 38: loss=tensor([26.6910], device='cuda:1', dtype=torch.float64)
epoch 39: loss=tensor([26.5758], device='cuda:1', dtype=torch.float64)
epoch 40: loss=tensor([26.5155], device='cuda:1', dtype=torch.float64)
epoch 41: loss=tensor([26.4357], device='cuda:1', dtype=torch.float64)
epoch 42: loss=tensor([26.0784], device='cuda:1', dtype=torch.float64)
epoch 43: loss=tensor([26.6975], device='cuda:1', dtype=torch.float64)
epoch 44: loss=tensor([26.2122], device='cuda:1', dtype=torch.float64)
epoch 45: loss=tensor([26.2613], device='cuda:1', dtype=torch.float64)
epoch 46: loss=tensor([25.9952], device='cuda:1', dtype=torch.float64)
epoch 47: loss=tensor([25.9936], device='cuda:1', dtype=torch.float64)
epoch 48: loss=tensor([25.9826], device='cuda:1', dtype=torch.float64)
epoch 49: loss=tensor([25.5906], device='cuda:1', dtype=torch.float64)
epoch 50: loss=tensor([25.9569], device='cuda:1', dtype=torch.float64)
epoch 51: loss=tensor([25.7107], device='cuda:1', dtype=torch.float64)
epoch 52: loss=tensor([33.3142], device='cuda:1', dtype=torch.float64)
epoch 53: loss=tensor([35.7303], device='cuda:1', dtype=torch.float64)
