lr=0.01 momentum=0.9
epoch 1: loss=4.031742575664341
epoch 2: loss=3.440835896560196
epoch 3: loss=3.709353303784175
epoch 4: loss=4.885142855721964
epoch 5: loss=3.04774491273623
epoch 6: loss=4.2171926377471936
epoch 7: loss=3.41482937897115
epoch 8: loss=2.918136895219989
epoch 9: loss=4.5504019508774505
epoch 10: loss=7.1172004395833515
epoch 11: loss=7.147664958470864
epoch 12: loss=4.536207239460811
epoch 13: loss=4.552101335608173
epoch 14: loss=6.5220360009660805
epoch 15: loss=5.685188026802921
epoch 16: loss=3.949327532962665
epoch 17: loss=4.583596983768641
epoch 18: loss=5.021419171298298
epoch 19: loss=4.662306903660733
epoch 20: loss=4.018239556675847
epoch 21: loss=4.021541684799507
epoch 22: loss=4.435316891281859
epoch 23: loss=4.313326472324773
epoch 24: loss=3.8154643328355276
epoch 25: loss=3.647314289201092
epoch 26: loss=3.8886947828391163
epoch 27: loss=3.9476591717274876
epoch 28: loss=3.7349603000616303
epoch 29: loss=3.465614259340626
epoch 30: loss=3.4742721459837194
epoch 31: loss=3.592387182999314
epoch 32: loss=3.517542849306982
epoch 33: loss=3.361081616213853
epoch 34: loss=3.2798919003903038
epoch 35: loss=3.2944367861105444
epoch 36: loss=3.3047252664094087
epoch 37: loss=3.2807214070941404
epoch 38: loss=3.246030827415032
epoch 39: loss=3.178985507010966
epoch 40: loss=3.158978428421324
epoch 41: loss=3.127516904435087
epoch 42: loss=3.138131405171347
epoch 43: loss=3.1517239255960696
epoch 44: loss=3.1415688846236063
epoch 45: loss=3.1180214959733212
epoch 46: loss=3.093288530291195
epoch 47: loss=3.080049686998336
epoch 48: loss=3.078195004375236
epoch 49: loss=3.1052910227642174
epoch 50: loss=3.0962085611349615
epoch 51: loss=3.076865095395319
epoch 52: loss=4.015304760637072
epoch 53: loss=4.248731112896298
epoch 54: loss=2.9869311994558507
epoch 55: loss=4.698186654895031
epoch 56: loss=5.659787404850013
epoch 57: loss=3.6348194295278207
epoch 58: loss=4.3604586428222305
epoch 59: loss=5.718605915512282
epoch 60: loss=4.7051048173564345
epoch 61: loss=3.040719178765538
epoch 62: loss=3.559504655721251
epoch 63: loss=3.4498202461507788
epoch 64: loss=3.281431175533539
epoch 65: loss=3.4611298964848762
epoch 66: loss=3.2791073663094776
epoch 67: loss=2.9493995993191184
epoch 68: loss=3.1072715166700737
epoch 69: loss=3.0848520289845354
epoch 70: loss=2.8413518557488215
epoch 71: loss=2.972609695506067
epoch 72: loss=3.078863203621732
epoch 73: loss=2.811313853357932
epoch 74: loss=2.680014018157996
epoch 75: loss=2.877042147201972
epoch 76: loss=2.8041594975892465
epoch 77: loss=2.629810998944782
epoch 78: loss=2.755542825313686
epoch 79: loss=3.038589482074727
epoch 80: loss=3.1229246792909207
epoch 81: loss=3.1461142614429214
epoch 82: loss=3.0148599692234432
epoch 83: loss=2.790414411113011
epoch 84: loss=2.738333274092035
epoch 85: loss=2.7094240012715627
epoch 86: loss=2.9286829163855863
epoch 87: loss=2.779920482836387
epoch 88: loss=2.8270238786318194
epoch 89: loss=2.8548277220681317
epoch 90: loss=2.714207592938129
epoch 91: loss=2.819511471939233
epoch 92: loss=2.789094763707327
epoch 93: loss=2.830095765496246
epoch 94: loss=2.7628815604017936
epoch 95: loss=2.6760147696359375
epoch 96: loss=2.706157143835209
epoch 97: loss=2.7101951459733584
epoch 98: loss=2.7703949384707443
epoch 99: loss=2.7466618685736175
epoch 100: loss=2.7123721649993184
