lr=0.01 momentum=0.9
epoch 0: loss=tensor([26.5488], device='cuda:1', dtype=torch.float64)
epoch 1: loss=tensor([18.4152], device='cuda:1', dtype=torch.float64)
epoch 2: loss=tensor([11.7573], device='cuda:1', dtype=torch.float64)
epoch 3: loss=tensor([15.7248], device='cuda:1', dtype=torch.float64)
epoch 4: loss=tensor([12.0820], device='cuda:1', dtype=torch.float64)
epoch 5: loss=tensor([13.4475], device='cuda:1', dtype=torch.float64)
epoch 6: loss=tensor([12.2527], device='cuda:1', dtype=torch.float64)
epoch 7: loss=tensor([14.5351], device='cuda:1', dtype=torch.float64)
epoch 8: loss=tensor([14.4367], device='cuda:1', dtype=torch.float64)
epoch 9: loss=tensor([12.5876], device='cuda:1', dtype=torch.float64)
epoch 10: loss=tensor([12.4077], device='cuda:1', dtype=torch.float64)
epoch 11: loss=tensor([12.4126], device='cuda:1', dtype=torch.float64)
epoch 12: loss=tensor([12.4721], device='cuda:1', dtype=torch.float64)
epoch 13: loss=tensor([11.8443], device='cuda:1', dtype=torch.float64)
epoch 14: loss=tensor([11.7385], device='cuda:1', dtype=torch.float64)
epoch 15: loss=tensor([11.4058], device='cuda:1', dtype=torch.float64)
epoch 16: loss=tensor([10.9344], device='cuda:1', dtype=torch.float64)
epoch 17: loss=tensor([10.5430], device='cuda:1', dtype=torch.float64)
epoch 18: loss=tensor([9.5228], device='cuda:1', dtype=torch.float64)
epoch 19: loss=tensor([9.6632], device='cuda:1', dtype=torch.float64)
epoch 20: loss=tensor([9.9654], device='cuda:1', dtype=torch.float64)
epoch 21: loss=tensor([9.1214], device='cuda:1', dtype=torch.float64)
epoch 22: loss=tensor([8.2801], device='cuda:1', dtype=torch.float64)
epoch 23: loss=tensor([9.9376], device='cuda:1', dtype=torch.float64)
epoch 24: loss=tensor([9.9332], device='cuda:1', dtype=torch.float64)
epoch 25: loss=tensor([9.7944], device='cuda:1', dtype=torch.float64)
epoch 26: loss=tensor([10.1917], device='cuda:1', dtype=torch.float64)
epoch 27: loss=tensor([9.6408], device='cuda:1', dtype=torch.float64)
epoch 28: loss=tensor([9.5026], device='cuda:1', dtype=torch.float64)
